front,back
"What is the Last Minute Procedure at the start and end of the last minute of each period?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 4 – Last Minute Procedure</i>","Just prior to and during the last minute of play in each period, the Timekeeper takes a position on the sideline clearly visible to the officials. At the commencement of the last minute of play, the Timekeeper raises the flag and continues to keep it raised until the Timekeeper’s watch registers full time for the period; the flag is then immediately lowered so it is no longer visible to the officials."
"Under what condition will play be put into play again if the ball becomes dead during the last minute and the flag is still raised?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 4 – Last Minute Procedure</i>","If the ball becomes dead on any play, and the flag is still raised, the ball will again be put into play."
"What happens if the ball becomes dead and the flag has been lowered since the last time the ball was put into play?

<i>Rule 2 — Officials | Section 11: Timekeeper and Scorer | Article 4 – Last Minute Procedure</i>","If the flag has been lowered since the last time the ball was put into play, the period will be over, and so declared by the Referee, subject to fouls committed during the last play."
"How many points is a touchdown worth in this scoring table?

<i>Rule 3 — Scoring | Section 1: Table of Scores | Article 1</i>",Touchdown = 6 points.
"How many points is a field goal worth, and how does it differ from a convert?

<i>Rule 3 — Scoring | Section 1: Table of Scores | Article 1</i>",Field Goal = 3 points; Convert = 1 or 2 points.
"Under what condition is a team declared the winner?

<i>Rule 3 — Scoring | Section 1: Table of Scores | Article 1</i>",The team scoring the majority of the points shall be the winner.
"When is a touchdown scored based on the ball reaching the opponent’s goal line (including being in the air)?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 1 – Touchdown</i>","A touchdown is scored when the ball is in the opponent’s end zone in possession of a player, or when the ball in possession crosses or touches the goal line or the plane of the goal line, even in the air."
"What happens to a touchdown if the ball is fumbled afterward or the player is forced back into the field of play?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 1 – Touchdown</i>","If, after a touchdown, the ball is fumbled or the player in possession is forced back into the field of play, the touchdown shall still score."
"What is required for a field goal to score, including the key conditions after the kick?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 2 – Field Goal</i>","A field goal is scored by a drop or place kick (except on a kick off) when the ball, after being kicked and without again touching the ground, goes over the crossbar and between the goal posts (or goal posts produced) of the opponent’s goal, regardless of whether it touches the goal post assembly."
"When does a field goal still score if the kicked ball touches or is touched before/after the line of scrimmage?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 2 – Field Goal</i>","If, after being kicked, the ball touches/is touched by any player before it crosses the line of scrimmage, or touches/is touched by a B player after it crosses the line of scrimmage, and the ball continues forward in the air over the crossbar between the goal posts, the field goal shall score."
"Under what conditions is a safety touch scored (including kicks and blocked kicks)?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 3 – Safety Touch</i>","A safety touch is scored when the ball becomes dead in possession of a team in its own end zone, or goes out of bounds in the end zone, as a result of the ball being carried, kicked, fumbled, or otherwise directed from the field of play into the end zone by the team scored against, or as a DIRECT result of a kick being blocked in the field of play."
"When can an interception in the field of play count as possession gained in the end zone?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 3 – Safety Touch</i>","If a player intercepts a forward pass in the field of play while moving toward the player’s goal line, and the official judges that the momentum carries the player into the player’s end zone, possession is deemed to have been gained in the end zone."
"What must occur for a rouge to be scored (including possession after a kicked ball)?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 4 – Rouge or Single Point</i>","A rouge is scored when the ball becomes dead in possession of a team in its own end zone, or goes out of bounds in its end zone, because the ball was kicked into the end zone by an opponent; if a player catches a kicked ball in the field of play while moving toward their goal line and officials judge momentum carries them into their team’s end zone, possession is deemed to have been gained in the end zone."
"On a kickoff, what condition must be met for the kicking team to score a rouge?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 4 – Rouge or Single Point</i>","For the kicking team to score a rouge on a kick off, the ball must touch the ground, a player, or an official, in bounds, after the ball has been kicked."
"What happens if the ball is kicked directly out of bounds (in flight in the end zone) on a kickoff?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 4 – Rouge or Single Point</i>","If the ball is kicked directly out of bounds, in flight in the end zone, no point is awarded, and the ball will be scrimmaged by the receiving team at 1D on their own 20 yard (20 metre) line, at any point on or between the hash marks."
"From where can a team attempt a convert after scoring a touchdown, and what is the minimum/maximum location limit mentioned?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 5 – Convert</i>","A team scoring a touchdown may attempt to add to its score by one scrimmage play at any point on or between the hash marks, or play from any point on or outside the opponent’s 5 yard (5 metre) line, within the hash marks. No convert attempt shall be made from within the 1 yard (1 metre) line."
"What point values are available on a convert attempt, and what scoring/playing restrictions apply to each?

<i>Rule 3 — Scoring | Section 2: Definitions | Article 5 – Convert</i>","A 1-point convert is by kicking a field goal. If the kick is unsuccessful, the ball is dead immediately. A 2-point convert is by scoring a touchdown; a punt or onside kick is prohibited, and if B gains possession, the ball is dead immediately."
