chunk,rule_number,section,article,text
4,Rule 1 – Conduct of the Game,Section 3: The Game,"Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field","At the start of the game, the captain of the visiting team, or the team winning the coin toss, shall declare whether to have first choice at the start of the first or second half. The captain of the team having first choice at the start of the first half shall have the option of one of the three following choices: 1. Kicking Off 2. Receiving the kick off 3. Defending an end of the field The captain of the other team shall have the option of the 1 or 2 remaining choices. At the start of the 3rd period, the procedure shall be reversed. The team captain having the first choice for the 2nd half shall have the option of the 3 choices above, and the other captain the option of the remaining 1 or 2 choices. After a touchdown, the captain of the team scored against shall have the choice of kicking off, or receiving the kick off."
4,Rule 1 – Conduct of the Game,Section 3: The Game,Article 3 – Change of End,"At the end of the 1st and 3rd periods, the teams shall change ends. At the start of the 2nd and 4th periods, the ball shall be put into play by the team entitled to do so, at a point corresponding exactly to the point where the ball became dead at the opposite end of the field, and in exactly the same manner as if play had not been interrupted by the end of the previous period."
4,Rule 1 – Conduct of the Game,Section 3: The Game,Article 4 – Half Time,"At the end of the 2nd period, a 20-minute rest period shall be allowed – or such other rest period as the league shall decide."
4,Rule 1 – Conduct of the Game,Section 3: The Game,Article 5 – Late Start,The game shall start promptly at the time scheduled. If a team is late appearing on the field at the start of the 1st or 3rd period: Penalty – L10. No option.
4,Rule 1 – Conduct of the Game,Section 3: The Game,Article 6 – Tie Game,"When the score is tied at the end of the 4th period and it is necessary to declare a winner, the procedure to break the tie shall be the prerogative of the governing football association, with the consideration that the safety of the athlete is of prime importance. Any such procedures shall be communicated in writing to both teams, and to the Referee, prior to the game in which the procedure may be used. In the event that no such regulations have been prepared, the following procedure shall be used. Amateur football playing rules apply with the following exceptions: a) Immediately after the conclusion of the fourth quarter, officials will instruct both teams to retire to their respective team areas. The officials will assemble at center field and review the tie-breaking procedure. b) The officials will escort captains to the centre of the field for the coin toss. The winner of the toss shall choose one of the following options: 1) Offense or defense, with the offense at the opponent’s 35-yard line to start. 2) Which end of the field shall be used for the overtime period. c) The loser of the toss shall exercise the remaining option for the first extra period and shall have the first choice of the two options for subsequent even-numbered extra periods. d) Extra periods: An extra period provides each team the opportunity to put the ball in play by a snap, on or between the hash marks of the opponent’s 35-yard line, except if team B scores during a team A possession. Each team retains the ball until it scores or fails to make a first down. The ball remains alive after a change of team possession until it is declared dead. e) Scoring: The team scoring the greater number of points during an extra period shall be declared the winner. If the score is still tied after three extra periods having been played, any subsequent touchdown must be followed by a two-point conversion. f ) There shall be no team time-outs during overtime play."
5,Rule 1 – Conduct of the Game,Section 4: Teams,Article 1 – Teams,Each team consists of 12 players on the field at any one time.
5,Rule 1 – Conduct of the Game,Section 4: Teams,Article 2 – Team Designation,"The team which puts the ball into play shall be identified as Team A, and the other team as Team B, for
identification in Approved Rulings in the Case Book."
5,Rule 1 – Conduct of the Game,Section 4: Teams,Article 3 – Team Captains,"a) At all times, each team shall have on the field a player designated as captain, and so identified
to the officials. The captain shall be the sole communicator between the team and the officials,
through the Referee, and shall be entitled to an explanation of the rules. No prolonged argument is
to be allowed and the Referee’s decision cannot be disputed.
b) Commenting by a player, or any occupant of the bench, for the supposed benefit of the officials
shall be penalized. Penalty L10. No option.
c) A captain will be informed by the Referee when a choice is to be made – such as on a kick off at the
start of a half, or after a touchdown or field goal, or in the case of a foul where the captain of the
non-offending team shall be given the choice of the penalty, or option provided. After the choice
on a kick off has been communicated to the opponents by the Referee, the choice may not be
revoked. After the choice of penalty or option has been made, the choice may not be revoked.
d) The Referee may decline a request for a measurement if satisfied beyond all reasonable doubt that a
first down has or has not been made.
e) When the distance chains are called in to determine whether a first down has been made, only the
on-field captain of each team shall be permitted in the vicinity of the measurement."
6,Rule 1 – Conduct of the Game,Section 5: Timing,Article 1 – Time Starts,"The below timing rules may be amended by individual leagues to shorten games into an allotted time
slot. No timing change may be made that will lengthen a game.
Time shall start on the signal of the Referee when:
a) The ball, following a kick off, touches, or is touched by a player of either team, in bounds;
b) The ball is ready to be scrimmaged;
c) The ball is snapped after a “time count” foul, or after a timeout due to the noise of the crowd;
d) The ball is snapped following a requested time out;
e) The ball is snapped following an incomplete forward pass, or the ball being carried out of bounds,
after the 3 minute warning signal has been given in any half;
f ) The ball is snapped immediately following a play during which possession changes after the
3-minute warning signal has been given in any half. This includes the change of possession after a
score of 1 or 3 points when the ball is put into play by a scrimmage;
g) The ball is snapped on a play immediately following a kick off, a kick from scrimmage, a return kick,
or an open field kick after the 3-minute warning signal has been given in any half;
h) The ball is snapped after the penalty application for a foul that occurs after the 3 minute warning
signal has been given in any half. The non-offending team may decline the penalty and permit time
to resume as though a foul had not occurred;
i)   Following a time out or after the 3 minute warning and the game clock is being held from the
previous play, and the play is stopped for a procedural penalty by either Team. The game clock shall
be held until the snap of the ball whether the yardage is accepted or not."
6,Rule 1 – Conduct of the Game,Section 5: Timing,Article 2 – Time Stops,"Time shall stop on the signal of a field official when:
a) A score has been made and throughout any convert attempt.
b) A live ball goes out of bounds.
c) A forward pass is incomplete.
d) Penalty application is required.
e) Three or more players from either team substitute at the same time.
f ) Player injury occurs. Time stops after the ball is dead and the injured player must be replaced.
g) Time expires at the end of a period.
h) The ball becomes dead after the three-minute warning signal in any half.
i) Any field official recognizes a request for a time out.
j) The Referee feels it necessary to suspend play – defective equipment, measurements, etc.
k) A play ends in which Team B has gained possession at some point during the play.
l) Termination of all kick plays occurs.
Rule Modification page 55"
6,Rule 1 – Conduct of the Game,Section 5: Timing,Article 3 – End of Period,"If in any period, the ball becomes dead with only a short period of time remaining, the team in
possession shall be entitled to one complete play even though that play may extend beyond the normal
termination of that period.
Where the last play is a legally scored touchdown, the period will be extended for the convert attempt
following the touchdown. The period will end when the ball is declared dead on the convert, without a
foul. If a foul occurs, see Rule 1, Section 5, Article 6."
6,Rule 1 – Conduct of the Game,Section 5: Timing,Article 4 – Time Out,"Each team shall be entitled to two time outs in each half of a game. Each time out is 1 minute long. Any
player, head coach, or designated head coach may request a time out from the time the ball becomes
dead until it is put into play. Time outs may not be accumulated from one half to the next. After a time
out, and any conference with the coaches, Team A players shall not remain in close proximity to their
bench, but must return to their huddle, or move clearly away from the team bench area, if they are not
using a huddle, or be penalized for illegal procedure.
Penalty: L5 PLS DR."
6,Rule 1 – Conduct of the Game,Section 5: Timing,Article 5 – Mercy Rule,"Any time after the first half, if the difference in score between the two teams becomes 35 points or
more, the clock will be running time for the remainder of the game, except for injuries, scores, timeouts
or any reason the Referee deems necessary to stop the clock. When the clock has been stopped it will
re-start based on rule 1-5-1.
Note the mercy rule does not apply for U Sport and CJFL levels."
7,Rule 1 – Conduct of the Game,Section 6: Possession,Article 1 – Player Possession,"A player is in possession of the ball when firmly held in the hand or hands, arm or arms, leg or legs, or
under body."
7,Rule 1 – Conduct of the Game,Section 6: Possession,Article 2 – Disputed Possession,"When players of opposite teams have possession of the ball, it shall belong to the player who first
gained possession, and who has not lost possession."
7,Rule 1 – Conduct of the Game,Section 6: Possession,Article 3 – Simultaneous Possession,"If players of opposite teams legally gain simultaneous possession of the ball, it shall belong to the team
which last previously had possession.
If a forward pass is caught simultaneously by eligible receivers of both teams, the ball shall belong to
Team A (Rule 6-4-6-c).
If a kick off is legally caught simultaneously by players of opposite teams
- before it has been touched by any other player after the kick off – kick off repeated at the previous
line of kick off.
- after it has been legally touched by another player, or players – possession to the team which last
touched it before the simultaneous possession."
7,Rule 1 – Conduct of the Game,Section 6: Possession,Article 4 – Change of Possession,"Change of Possession occurs as follows:
a) Scrimmage Play – Team A is in possession until it loses possession (ie: fumble, blocked kick). Team B is
in possession when a B player gains possession. Until Team A or Team B gains possession, the ball is in
neither team’s possession and is defined as a «loose ball. »
b) Forward Pass – Team A is in possession until the pass is ruled incomplete, or the ball is intercepted
by Team B. Team B is in possession when a B player intercepts the pass.
c) Scrimmage Kick – Team A is in possession until the ball is kicked. Team B is in possession when
a B player gains possession. Until Team B or Team A gains possession, the ball is in neither team’s
possession and is a ball «in flight.»
d) Return Kick – Team B is in possession until the B player has kicked the ball, which is then «in flight»
until either Team A or Team B regains possession.
e) Kick Off – Neither team is in possession prior to the kick off. Team B is in possession when a B player
gains possession. Until Team B or Team A gains possession, the ball is in neither team’s possession
and is a ball «in flight.»
Note: If a kicked ball other than a kickoff is legally touched by a player of either team such touching
shall be deemed to be possession when penalty applications are involved with before change
of possession, loose ball, ball in flight or after change of possession."
8,Rule 1 – Conduct of the Game,Section 7: Live Ball,Article 1 – Ball in Play,"The ball is in play when:
a) It has been put into play by a kick off or scrimmage, until a field official stops play by sounding the
whistle.
b) It strikes an official who is not out of bounds, except on a forward pass.
c) It is on the ground not in possession of a player.
d) It is held in position by a player for the purpose of making a place kick, except on a kick off.
e) A forward pass is intercepted by a player in their end zone.
f ) An offside pass is made and/or the ball goes loose.
g) A ball is dribbled in bounds.
h) A dribbled ball hits the goal post assembly.
i) A kicked ball hits the goal post assembly after striking the ground, a player, or official, or after being
kicked from the end zone.
j) A lateral pass hits the goal post assembly."
8,Rule 1 – Conduct of the Game,Section 7: Live Ball,Article 2 – Injury Stoppage,"The play shall not be stopped because of player injury, or to impose a penalty until the ball is dead.
No delay shall be allowed for player injury, or for any other reason, except by permission of a field
official, who has the full authority to require the immediate removal from the field of a player who may
require the services of a trainer or doctor.
Penalty for unauthorized delay: L10, no option.
So as not to penalize teams unduly, the Referee will call an official time out of no more than two (2)
minutes to allow for medical attention and/or care of equipment related to bleeding. Neither Team shall
be charged with a time out. (Refer to Code of Ethics – Responsibilities to Players – 7, 8)"
9,Rule 1 – Conduct of the Game,Section 8: Dead Ball,Article 1,"The ball becomes dead when:
a) A field official blows the whistle to end play (NOTE 4).
b) The ball, or a player with possession of the ball, goes out of bounds.
c) Any score is made.
d) The ball carrier is tackled, held and the forward progress has been halted. (See Notes 1, 2, 3)
e) A forward pass is declared incomplete, or it strikes a game official, the goal post assembly, downs
box marker or distance chain rod.
f ) It is in possession of a player lying on the ground or is being held by a player for a kick off, prior to
the kick off.
g) It strikes the opponent’s goal post assembly in flight from a punt, return kick, place kick or kick
off without touching the ground, a player or an official after being kicked, provided that such kick
originated in the field of play. When this occurs on a field goal or convert attempt, the play shall be
whistled dead, but the ball will remain alive until the score is made or missed.
h) Any part of a ball carrier, other than hands or feet, touches the ground, even without contact by an
opponent. The ball shall be declared dead AT THE POINT WHERE IT WAS HELD when the ball carrier
touched the ground.
Exception: The ball is not dead when a player is holding the ball for a field goal or convert attempt.
i) If the ball carrier falls on a player who is on the ground, the ball shall be declared dead at that point,
except if they are in the close line play area.
j) Immediately if ball carrier loses their helmet.
k) A ball carrier begins, simulates, or fakes a foot-first slide.
Note 1: When a ball carrier is tackled and driven back toward their own goal line, it is assumed that
the ball carrier was attempting to advance the ball, and that only the contact with the opponent
prevented the advance. Therefore, the most forward point of advance is considered to be the point
where the ball became dead.
Note 2: If the ball carrier who is contacted by the opponent breaks the tackle and in this effort to
advance the ball, retreats toward their own goal line, the point of advance where the ball becomes
dead is considered as the point at which the ball carrier is subsequently held.
Note 3: When a player is carrying the ball out of their end zone, and the player is contacted by an
opponent, so that the force of the opponent’s contact drives them back into their end zone, but
the player is not held, the player is still free to advance the ball. If the ball subsequently goes dead
in their end zone, in the team’s possession, without having again left the end zone, the defending
team shall be awarded 1 or 2 points, as applicable.
If the ball is subsequently carried out of the end zone, the forward point of advance will be the
point where the ball becomes dead.
Note 4: When the whistle is blown inadvertently:
1) With a team in possession, the team in possession shall have the choice to:
i) cancel the current play and repeat it where it began (PLS or kick-off ) or
ii) have the play terminate at the PBH when the whistle was blown, downs continue if distance
not gained.
Note: If in air on a pass play, repeat from PLS no option.
2) With the ball not in possession of either team but where a team was previously in possession,
the ball will be returned to the team last in possession and that team will have the choice to:
i) cancel the current play and repeat it where it began (PLS or kick-off ) or
ii) have the play terminate at the point of last possession
3)   On any scrimmage or return kick play with the ball not in possession of either team, the
receiving team shall have the choice to:
i) cancel the current play and repeat it where it began (PLS) or
ii) take possession of the ball at the point it strikes the ground, a player, or goes out of bounds
in flight.
Note: If on a return kick from the end zone where ball hits the goal post assembly, repeat play
from PLS no option
4)   With the ball not in possession and neither team had previous possession (i.e. on kick-off prior
to possession) then the play will be repeated from previous spot, no option
5)   Any fouls which occur during the play, if accepted, will be administered as they would in a
regular play situation on which no whistle had been blown.
6)   But in the official’s judgment the result of the play was not affected, then the play will stand
with the expected result. Examples of this include inadvertent whistles that occur:
i) while the ball is in the air on a successful field goal, or an unsuccessful field goal which leaves
the end zone in flight,
ii) while the ball is in the air on a punt attempt that leaves the field of play or end zone in flight.
7)   On a play during which time expires at the end of the second or fourth quarters, one additional
play will be allowed. (exception 5)."
10,Rule 1 – Conduct of the Game,Section 9: End Zone,Article 1 – Definition,"The ball is in the End Zone when:
a) Any part of the ball is on, or behind the goal line, even in the air.
b) Any part of the ball touches the plane of the goal line.
The ball is not in the End Zone when the whole ball is completely ahead of the goal line, or the plane of
the goal line."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 1 – Definition,"The ball is out of bounds when:
a) It touches any boundary line, or the ground or any object on or beyond these lines, including an
official, any player or substitute.
b) A player in possession of the ball touches any boundary line, or the ground or any object beyond
these lines, except a field official or another player who is out of bounds, while the ball carrier is fully
in bounds."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 2 – Carried Out of Bounds,"When the ball is carried out of bounds on the field of play; it shall belong to the team carrying it out of
bounds, at the point where the ball crossed the line before it went out of bounds, except on third down
when the required distance has not been gained."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 3 – Kicked Out of Bounds,"a) When the ball is kicked out of bounds on the field of play, it shall belong to the opposite team,
subject to the option of penalty applicable on the play.
b) When a player kicks a ball out of bounds in their own end zone, it will result in a score of 1 or 2
points, unless the ball is in the end zone from a forward pass intercepted in the end zone, or as a
result of a fumble into the end zone by an opponent."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 4 – Forward Pass Thrown Out of Bounds,"A ball thrown out of bounds on a forward pass shall remain in possession of the passing team, except on
third down when the required distance has not been gained."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 5 – Last Touched,"With the exception of Article 4 above, a ball which is fumbled out of bounds, or touches a player in
the field of play and then goes out of bounds, shall belong to the team which last touched the ball, 24
yards (22 metres) in from the sideline at whichever point is closer to the goal line of the team entitled to
possession, as follows:
a) where the ball went out of bounds, OR
b) where the ball was last touched in the field of play.
Note: Rulings on kicked ball blocked out of bounds – See Rule 5, Section 3, Articles 3, 4."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 6 – Into End Zone,"a) When a player fumbles the ball from the field of play directly over the opponent’s goal line and then
out of bounds in the end zone without the ball touching an opponent, it shall be ruled as a fumble,
out of bounds, in the field of play, with the ball declared dead at the point where it was last touched
in the field of play.
b) When a player fumbles the ball over the opponent’s goal line, and it is last touched by a team mate
without gaining possession and then goes out of bounds in the end zone, the ball shall be awarded
to the team making the fumble, at the point of the original fumble.
c) When a player fumbles the ball over the opponent’s goal line, where it is recovered by an opponent,
or it is last touched by an opponent without gaining possession, and then goes out of bounds in
the end zone, there shall be no score and the ball shall be awarded to the opponent, at any point
on or between the hash marks on the 20 yard (20 metre) line if the ball goes dead in the end zone.
Exception – Blocked Kick – Rule 5, Section 3, Article 4
d) When a player fumbles or directs the ball from the field of play into their own end zone, where the
ball goes out of bounds without possession being gained by either team, a safety touch shall be
awarded.
Note: If the team recovering the fumble in its own end zone commits a foul while attempting to
advance the ball out of the end zone, there shall be no score and the penalty shall be applied at the 20
yard (20 metre) line (UR, RP etc., may be applied at PBD)."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 7 – From End Zone,"a) When a player fumbles the ball in their own end zone, to out of bounds in the end zone, even if
touched by another player, a score of 1 or 2 points shall be awarded as applicable (NOTE 1).
b) When a player fumbles the ball from their own end zone, over the goal line, and then out of bounds,
without the ball touching an opponent, it shall be ruled as an offside pass in the end zone (Note 1).
Penalty: Team A – 1.2 D safety touch to B, or B option to allow A to scrimmage 24 yards (22
metres) in from the out-of-bounds point, downs continue.
– 3D safety touch to B, or B possession 24 yards (22 metres) in from out-of-
bounds point.
Team B – 1 or 2 points as applicable, or A option to allow B to scrimmage 24 yards (22
metres) in from the out-of-bounds point.
Note 1: Exception – no score in (a) or (b) if the ball is in the end zone from a forward pass
intercepted in the end zone, or as a result of a fumble into the end zone by an opponent, or if the
ball carrier has been knocked back into the end zone by an opponent and is not subsequently free
to advance the ball."
11,Rule 1 – Conduct of the Game,Section 10: Out of Bounds,Article 8 – Player Out of Bounds,"It is illegal for a player to go out of bounds and return to the field and participate in the play unless that
player went out of bounds as a result of:
a) a slippery field
b) contact with an opponent; or
c) a missed block or tackle.
The player is allowed to return to the field and participate in the play but must re-establish themself in
the field of play with at least one foot in bounds and no contact with out of bounds.
Penalty – L10
It is illegal for an out-of-bounds player to reach back into or re-enter the field of play to touch or recover
a loose ball.
Penalty – LB PF
If a player from either team illegally participates by going out of bounds on a Kick-off before possession
has been legally gained
Penalty - L10 from the point of kick-off repeat kick-off or option
If a player from either team illegally participates by going out of bounds after possession has been
legally gained on a Kick-off:
Penalty - L10 PP, PBH, PBD or option
If a player of Team B reaches back into the field of play while still out of bounds and touches a kickoff.
Penalty: Ball is dead at spot of touch with possession awarded along with 10-yard penalty for Illegal
participation."
12,Rule 1 – Conduct of the Game,Section 11: Uniform & Equipment,Article 1 – General,"a) No player shall wear equipment of any kind which may injure the opponent. The Referee may have
removed from the game any player who is wearing equipment which, in the Referee’s opinion,
endangers a participant.
b) No team shall wear uniforms that blend closely with the color of the ball. Teams must wear uniforms
where the numbers are easy to identify.
c) The following equipment is mandatory and shall be worn by all players. The prime responsibility of
proper equipment rests on the Head Coach or their designate. The equipment shall be designed
and manufactured by a professional manufacturer and cannot be altered in any way.
1) Knee protection in the form of soft padding entirely captured within a continuous material
or knee protection specifically designed for and insertable in football pants. Knee protection
cannot include any strap featuring a buckle, Velcro, clip, or strap that could become unfastened
during play.
2) thigh guards.
3) hip pads, with tailbone protector.
4) shoulder pads.
5) mouthguard covering all the upper jaw teeth, as specified in Article 3 of this Section 11.
It shall be illegal for a player to have a second mouthguard, which would include but not
limited to an extra-oral mouthguard attached or fixated to the helmet or facemask.
6) shoes which meet the specifications as in Article 4 of this Section 11, or which may provide
less fixation to the ground, such as ripple soles, or broomball type shoes, where no «cleats»
are provided. No player shall participate in the game without being properly equipped and
wearing shoes as specified.
7) Items 1, 2, 3, 4 and including all Back Plates and Rib Protectors must be covered by the pants or
jersey, exception being for players who are wearing a snap in soft foam hip and tail pad system.
8) Helmet and face guard as per rule 1-11-2
d) Adhesive material, grease or any other slippery substance, applied on a player’s person or clothing,
that affects the ball or an opponent, is illegal.
e) Any gloves which have any type of webbing between the digits are illegal.
f) All players’ numbers must conform to those listed on the score sheet. Players shall retain the same
numbers throughout the game, except when permission to change is given by the Referee. Where
a sweater is torn, the Referee shall allow reasonable time for a substitution, but any change in
number must be reported to the scorer.
g) It is illegal to tie or knot team jerseys
Penalty a) b) f ) g): the offending player shall be removed from the game until the illegal equipment
is replaced or the score sheet is corrected.
Penalty c):           Loss of 5 yards from point where the ball would have been put into play, if no
other foul had occurred, or added to the penalty for any other foul. The offending
player shall be removed from the game until the illegal equipment is replaced.
Immediate substitution will be made, but the game shall not be delayed. If more
than 1 player offends on the same play, only 1 penalty L5 will be applied for that
play. Fouls on subsequent plays will be penalized in the same way – L5 on each
play where 1 or more players offend
Penalty d) e):        Team A 1,2D-L 10 DR, 3rd DG- L 10, DNG-LB PBD. Team B L 10 PLS
The offending player shall be removed from the game until the illegal material, substance or gloves
have been removed. Immediate substitution will be made but the game shall not be delayed. If
more than one player offends on the same play, only 1 penalty L 10 will be applied for that play.
Fouls on subsequent plays will be penalized in the same way-L 10 on each play where 1 or more
players offend."
12,Rule 1 – Conduct of the Game,Section 11: Uniform & Equipment,Article 2 – Helmets and Imitation of the Ball,"a) Only helmets and facemasks approved by the National Operating Committee on Safety in Athletic
Equipment (NOCSAE) shall be worn by players.
b) All visors must be clear, not tinted – No medical exceptions are allowed.
c) A player shall be required to wear the helmet while in bounds and shall not voluntarily remove it
while the play is in progress.
d) The use of the helmet or other objects to deceive opponents as to the location of the ball is illegal.
e) If a player’s helmet involuntarily comes off during the play, except as a result of a foul, he/she shall
be required to leave the game for 3 plays.
f ) If any player loses their helmet the player must stop participating in the play. Penalty: L10 PBD or
PBH.
g) Hitting a player who has lost their helmet is to be ruled Unnecessary Roughness
h) Leagues can approve and administer the use of communication devises, providing such devices do
not alter or change the construction of the helmet.
i) A player has the option of wearing a manufactured protective helmet cover “Guardian Caps” during
practices and or games. The helmet cover must be designed and manufactured by a professional
manufacturer and cannot be altered in any way.
Penalty: a) b) c) d): Offending player shall be removed from game until situation is corrected. Offending
team is also assessed a 10-yard penalty PBD."
12,Rule 1 – Conduct of the Game,Section 11: Uniform & Equipment,Article 3 – Mouthguard,"A player shall wear an intra-oral (within the mouth) mouth and tooth protector, which includes an
occlusial (protecting and separating the biting surfaces) and an optional labial (protecting the lips)
portion. It is also recommended that the protector be either (a) constructed from a model made from an
impression of the individual’s teeth, or (b) constructed and fitted to the individual by impressing their
teeth into the mouth and tooth protector itself.
It shall be illegal for a player to participate in the game unless the mouthguard is being worn in the
proper position by the player.
Penalty:
1st Infraction – the Referee only shall clearly warn the offending player that the mouthguard must be in
the proper position while participating.
2nd & subsequent infractions by any player previously warned as above by the Referee – L5 from the
point where the ball would have been put in play if no foul had occurred. The player shall be removed
until properly equipped. Immediate substitution shall be allowed.
Note 1: Subsequent infractions, if deemed deliberate, will be ruled and penalized as objectionable
conduct.
Note 2: A penalty card, or similar card should be used to record the number of the player warned, in
order to ensure accuracy."
